,k,pk
0,1.0,0.54
1,1.0,0.54
2,1.0,0.54
3,1.0,0.54
4,1.0,0.54
5,1.0,0.54
6,1.0,0.54
7,1.0,0.54
8,1.0,0.54
9,1.0,0.54
10,1.0,0.54
11,1.0,0.54
12,1.0,0.54
13,1.0,0.54
14,1.0,0.54
15,1.0,0.54
16,1.0,0.54
17,1.0,0.54
18,1.0,0.54
19,1.0,0.54
20,1.0,0.54
21,1.0,0.54
22,1.0,0.54
23,1.0,0.54
24,1.0,0.54
25,1.0,0.54
26,1.0,0.54
27,1.0,0.54
28,1.0,0.54
29,1.0,0.54
30,1.0,0.54
31,1.0,0.54
32,1.0,0.54
33,1.0,0.54
34,1.0,0.54
35,1.0,0.54
36,1.0,0.54
37,1.0,0.54
38,1.0,0.54
39,1.0,0.54
40,1.0,0.54
41,1.0,0.54
42,1.0,0.54
43,1.0,0.54
44,1.0,0.54
45,1.0,0.54
46,1.0,0.54
47,1.0,0.54
48,1.0,0.54
49,1.0,0.54
50,1.0,0.54
51,1.0,0.54
52,1.0,0.54
53,1.0,0.54
54,1.0,0.54
55,1.0,0.54
56,1.0,0.54
57,1.0,0.54
58,1.0,0.54
59,1.0,0.54
60,1.0,0.54
61,1.0,0.54
62,1.0,0.54
63,1.0,0.54
64,1.0,0.54
65,1.0,0.54
66,1.0,0.54
67,1.0,0.54
68,1.0,0.54
69,1.0,0.54
70,1.0,0.54
71,1.0,0.54
72,1.0,0.54
73,1.0,0.54
74,1.0,0.54
75,1.0,0.54
76,1.0,0.54
77,1.0,0.54
78,1.0,0.54
79,1.0,0.54
80,1.0,0.54
81,1.0,0.54
82,1.0,0.54
83,1.0,0.54
84,1.0,0.54
85,1.0,0.54
86,1.0,0.54
87,1.0,0.54
88,1.0,0.54
89,1.0,0.54
90,1.0,0.54
91,1.0,0.54
92,1.0,0.54
93,1.0,0.54
94,1.0,0.54
95,1.0,0.54
96,1.0,0.54
97,1.0,0.54
98,1.0,0.54
99,1.0,0.54
100,1.0,0.54
101,1.0,0.54
102,1.0,0.54
103,1.0,0.54
104,1.0,0.54
105,1.0,0.54
106,1.0,0.54
107,1.0,0.54
108,2.0,0.08
109,2.0,0.08
110,2.0,0.08
111,2.0,0.08
112,2.0,0.08
113,2.0,0.08
114,2.0,0.08
115,2.0,0.08
116,2.0,0.08
117,2.0,0.08
118,2.0,0.08
119,2.0,0.08
120,2.0,0.08
121,2.0,0.08
122,2.0,0.08
123,2.0,0.08
124,3.0,0.07
125,3.0,0.07
126,3.0,0.07
127,3.0,0.07
128,3.0,0.07
129,3.0,0.07
130,3.0,0.07
131,3.0,0.07
132,3.0,0.07
133,3.0,0.07
134,3.0,0.07
135,3.0,0.07
136,3.0,0.07
137,3.0,0.07
138,5.0,0.03
139,5.0,0.03
140,5.0,0.03
141,5.0,0.03
142,5.0,0.03
143,5.0,0.03
144,8.0,0.03
145,8.0,0.03
146,8.0,0.03
147,8.0,0.03
148,8.0,0.03
149,8.0,0.03
150,4.0,0.025
151,4.0,0.025
152,4.0,0.025
153,4.0,0.025
154,4.0,0.025
155,24.0,0.01
156,24.0,0.01
157,6.0,0.01
158,6.0,0.01
159,7.0,0.01
160,7.0,0.01
161,305.0,0.01
162,305.0,0.01
163,13.0,0.01
164,13.0,0.01
165,15.0,0.01
166,15.0,0.01
167,35.0,0.005
168,33.0,0.005
169,32.0,0.005
170,25.0,0.005
171,10.0,0.005
172,20.0,0.005
173,19.0,0.005
174,11.0,0.005
175,43.0,0.005
176,9.0,0.005
177,37.0,0.005
178,1205.0,0.005
179,640.0,0.005
180,201.0,0.005
181,489.0,0.005
182,443.0,0.005
183,437.0,0.005
184,422.0,0.005
185,419.0,0.005
186,351.0,0.005
187,326.0,0.005
188,323.0,0.005
189,142.0,0.005
190,53.0,0.005
191,134.0,0.005
192,132.0,0.005
193,101.0,0.005
194,97.0,0.005
195,84.0,0.005
196,81.0,0.005
197,68.0,0.005
198,65.0,0.005
199,44.0,0.005
